N,k,outlier_pct,z,charikar_radius,charikar_time,gonzalez_radius,gonzalez_time,LP_Radius,LP_Time,SimplifiedDRG_radius,SimplifiedDRG_time,OC_Forward_radius,OC_Forward_time,OC_Local_radius,OC_Local_time,DingRKC_radius,DingRKC_time,OC_LP,Fwd_LP,Char_LP,Gonz_LP,Simp_LP,Ding_LP,D_kz1,LB,cert_ratio,cert_tight
10000,10,0.1,1000,2.086899,17.0375,2.375994,0.002228,1.842761,120345.4721,2.414816379547119,0.0064809322357177,2.0540692806243896,1.1145870685577393,2.029299736022949,1.650889873504639,2.17234063,12.055272,1.1012278510468525,1.1146693904550777,1.132484896305055,1.2893663367088841,1.3104338433183245,1.1788509904431448,0.8413142272071784,0.4206571136035892,4.824118433749541,0.22827545927203213
10000,10,0.2,2000,1.677009,21.6553,1.809641,0.002571,1.500199163,81679.8832,1.938413143157959,0.006486177444458,1.6690576076507568,2.6000449657440186,1.6469647884368896,2.887964963912964,1.7745645,26.178753,1.0978307607793871,1.1125573515939609,1.1178575760877156,1.2062671708076402,1.2921038692500317,1.1828859419247657,0.5651951047843601,0.28259755239218,5.827951355188256,0.18837335692619633
10000,20,0.1,1000,1.745952,28.2295,2.021746,0.004741,1.518918293,89351.8469,1.9522935152053833,0.0136451721191406,1.7356728315353394,1.977247953414917,1.7231566905975342,2.7549490928649902,1.8779242,22.156677,1.1344630573868097,1.142703224745045,1.1494706516119362,1.3310432887123045,1.285318324364524,1.236356299515579,0.8381543933239823,0.4190771966619911,4.111788244081806,0.27590502964729985
10000,20,0.2,2000,1.382541,37.7078,1.482378,0.006014,1.232119913,37545.6627,1.5919196605682373,0.0136110782623291,1.3606152534484863,5.196162700653076,1.3534235954284668,6.158561944961548,1.50600708,44.625116,1.0984511987417793,1.1042880153893644,1.1220831555540325,1.2031117948501169,1.2920168270734191,1.22228937631008,0.5636955314745843,0.2818477657372921,4.80196673508486,0.22875027240736762
10000,50,0.1,1000,1.367,58.5536,1.522736,0.013837,1.181366098,23958.5637,1.58092200756073,0.0337300300598144,1.3598947525024414,5.317018985748291,1.3560117483139038,6.4138782024383545,1.48219645,52.304561,1.147833639893316,1.1511205161589473,1.1571349493728234,1.2889619928808893,1.3382151479013662,1.2546461698107745,0.8279250958975646,0.4139625479487823,3.275687027807349,0.3504100453276951
10000,50,0.2,2000,1.0741,87.2888,1.179058,0.01432,0.942809407,13634.0469,1.2261732816696167,0.0339877605438232,1.0631093978881836,12.937602043151855,1.0571069717407229,14.486871004104614,1.18476379,107.956672,1.1212308276647507,1.1275973595458446,1.1392546489515458,1.2505793761135011,1.3005526594937937,1.2566312779694189,0.5575739211519471,0.2787869605759736,3.7918092351117894,0.2956981108865554
20000,10,0.1,2000,2.013654,76.7774,2.333395,0.003416,1.792315,312487.5543,2.459397554397583,0.0142867565155029,2.0057618618011475,5.484942197799683,1.980973958969116,7.353456974029541,2.18161774,48.892058,1.105259934201921,1.1190900381914715,1.123493359147248,1.301888897877884,1.3721904656255082,1.2172066517325357,0.6924398682468623,0.3462199341234311,5.721721263637228,0.19316913272690966
20000,10,0.2,4000,1.647786,97.7382,1.926569,0.003668,1.468204,215906.3375,1.779657006263733,0.0142738819122314,1.6653740406036377,10.867618083953856,1.64539635181427,13.222742080688477,1.77906811,94.461918,1.1206864657869546,1.1342933547406475,1.1223140653478672,1.3121943544630037,1.2121319695789774,1.2117308698246292,0.4751360696598516,0.2375680348299258,6.926000600174194,0.1618086007325452
20000,20,0.1,2000,1.728363,120.549,1.938769,0.006879,1.472006,338754.9028,2.0052242279052734,0.0291461944580078,1.706629991531372,10.53996968269348,1.6920720338821411,13.454310894012451,1.82427824,88.544232,1.149500772335263,1.1593906489045371,1.1741548607818175,1.317093136848627,1.3622391674390413,1.2393144049684581,0.6911841564636753,0.3455920782318376,4.896153993284038,0.23477627009118004
20000,20,0.2,4000,1.367316,168.0604,1.553954,0.007683,1.221534,208445.7712,1.5649659633636477,0.0295250415802001,1.360135555267334,20.73756694793701,1.354015231132507,24.82297992706299,1.51544845,177.280377,1.108454804477409,1.1134651636936295,1.119343382992205,1.272133235751113,1.2811481001459213,1.2406109449266252,0.4744571211496594,0.2372285605748297,5.7076400406915,0.19420545033935174
20000,50,0.1,2000,1.365,362.7796,1.52091,0.018169,1.110284,164932.1186,1.5106849670410156,0.0748500823974609,1.3467292785644531,26.587120056152344,1.3442596197128296,33.439295053482056,1.47812879,208.587048,1.2107349288225622,1.2129592775942488,1.2294151766575039,1.369838707934186,1.3606293228048099,1.3313069358830714,0.6863725414350932,0.3431862707175466,3.9169970782986208,0.3090977360004707
20000,50,0.2,4000,1.072,564.3467,1.20183,0.018965,0.950262412,139607.8656,1.1953574419021606,0.07269287109375,1.0599356889724731,52.31829214096069,1.0587246417999268,57.18601202964783,1.18864918,431.027858,1.1141392403090513,1.1154136747781551,1.1281094426788714,1.2647348614689813,1.2579235238678057,1.2508641455135239,0.47277515648566,0.23638757824283,4.478765972687229,0.24876031636914836
